index,Index,age,sex,tx
E14_F_B10,0.08519992292767184,E14,F,N/A
E14_M_B11,0.09526330760637072,E14,M,N/A
E14_F_B12,0.049564271388095694,E14,F,N/A
E14_F_C1,0.1267727681145568,E14,F,N/A
E14_M_B9,0.0,E14,M,N/A
E14_F_B6,0.08419309114592934,E14,F,N/A
E14_M_B7,0.049131713557116596,E14,M,N/A
E14_M_B8,0.10452399560816059,E14,M,N/A
P5_M_A1,0.19972351564532398,P4,M,N/A
P5_F_A2,0.21819177933351866,P4,F,N/A
P4_M_A4,0.1853747695112545,P4,M,N/A
P4_M_A5,0.19243761204123908,P4,M,N/A
P4_F_A6,0.20319665303930073,P4,F,N/A
P4_F_B3,0.1384306917351215,P4,F,N/A
P4_F_B4,0.12931140472452263,P4,F,N/A
P4_M_B5,0.1324964606093862,P4,M,N/A
P30_Male_1,0.6306217849345448,P30,M,N/A
P30_Male_2,0.662375668077452,P30,M,N/A
P30_male_3,0.570270217731708,P30,M,N/A
P30_male_4,0.5018356818114852,P30,M,N/A
P100_Male_1,0.6438652573888188,P100,M,N/A
P100_Male_2,0.651644885375519,P100,M,N/A
P100_female_1,0.688724775763353,P100,F,N/A
P100_female_2,0.6064822296695264,P100,F,N/A
P100_male_3,0.4969848874140178,P100,M,N/A
P100_male_4,0.5320899232999468,P100,M,N/A
P100_female_3,0.5550938296701085,P100,F,N/A
P100_female_4,0.5656259472629834,P100,F,N/A
Old_male_1,0.614206924233409,Old,M,N/A
Old_male_2,0.6284544268586028,Old,M,N/A
Old_male_3,0.5263892484248145,Old,M,N/A
Old_male_4,0.5047933482162007,Old,M,N/A
P100_M_A1,0.8200445655397602,P100,M,N/A
P100_M_A2,1.0,P100,M,N/A
P100_M_B5,0.5370762793356508,P100,M,N/A
P100_M_SALINE_A3,0.5875987351919248,P100,M,Sal
P100_M_SALINE_A5,0.5851404239046382,P100,M,Sal
P100_M_SALINE_B9,0.6870770700623079,P100,M,Sal
P100_M_LPC_A4,0.47002254121794834,P100,M,Lpc
P100_M_LPC_A6,0.49193659164576026,P100,M,Lpc
P100_M_LPC_B10,0.44674464630414357,P100,M,Lpc
P5_female_nopercoll_1,0.2722202635021143,P4,F,N/A
P5_female_nopercoll_2,0.2644360564012248,P4,F,N/A
P5_female_nopercoll_3,0.2501404044595062,P4,F,N/A
P5_female_percoll_1,0.2716153929232402,P4,F,N/A
P5_female_percoll_2,0.26730979452487624,P4,F,N/A
P5_female_percoll_3,0.27313600143003824,P4,F,N/A
